Confirmed, Key, Source, KOR
,"100110009","傀儡戦争の勃発、そして地上から国家の概念が薄れ始めると、スペースコロニーの設立者は優秀な人材を次々と引き抜き始めた。","괴뢰전쟁의 발발, 그리고 지상에서 국가의 개념이 희미해지기 시작하자 스페이스 콜로니의 설립자들은 우수한 인재를 속속 스카우트하기 시작했다."
,"100110010","それによりスペースコロニーは急激に成長し、瞬く間に一つの国家となる。それが――「オートルナ」だ。","그러다 보니 스페이스 콜로니는 급격히 성장해 순식간에 하나의 국가가 된다.그게 오토루나다."
,"100110011","今では、宇宙にあるオートルナが人類唯一の安全区域なのである。","지금은 우주에 있는 오토루나가 인류 유일의 안전구역이다."
,"100110012","しかし二大勢力である、フロンティアとオートルナは……","그러나 양대 세력인 프런티어와 오토루나는……."
,"100110013","互いに協力することを拒み、それぞれの資源と人員を動かせない中、今日まで傀儡戦争が続いている……そして人類は依然、困難な局面にあった。","서로 협력하기를 거부하고 각각의 자원과 인원을 움직이지 못하는 가운데 오늘날까지 괴뢰전쟁이 계속되고 있다……그리고 인류는 여전히 어려운 국면에 있었다."
,"100110014","なるほど、だから我々は「ユニオン」と呼ばれているのか。","과연 그래서 우리는 유니언이라고 불리는가."
,"100110015","その通りです、#<name>さん。","맞아요 #<name>님."
,"100110016","所属も階級も関係ありません。「ユニオン」では全員が力を合わせ傀儡に立ち向かい、私たちの居場所を取り戻すのです。","소속도 계급도 상관없어요.“유니온”에서는 모두가 힘을 합쳐 괴뢰들에게 맞서서 우리의 자리를 되찾는 거죠."
,"100110017","これが私がフロンティアとオートルナに「ユニオン」設立を提案した理由であり、「ユニオン」唯一の使命です。","이것이 내가 프런티어와 오토루나에 「유니온」설립을 제안한 이유이며, 「유니온」의 유일한 사명입니다."
,"100110018","はい！曹長のおかげで、無事に議会で「ユニオン」の設立が受理されたんです！","네! 조장님 덕분에 무사히 의회에서 '유니온' 설립이 수리되었습니다!"
,"100110019","皆さんからの期待に応えようとしただけです。","여러분의 기대에 부응하려고 했을 뿐입니다."
,"100110020","それと、私のことはニオと呼んでください。","그리고, 저를 니오라고 불러주세요."
,"100110021","はい！","네!"
,"100110022","指揮官、すべての検査を無事終えました。もう部隊に戻ってもいいでしょうか？","지휘관님, 모든 검사를 무사히 마쳤습니다이제 부대로 돌아가도 될까요?"
,"100110023","ありがとうございます。AG-01B ニオ・サイレン、ただいまをもって現場に復帰いたします。","감사합니다. AG-01B 니오 사이렌 지금 즉시 현장에 복귀하겠습니다."
,"100110024","#<name>さんはニオさんが指揮官に推薦したのですが、資料室からは#<non>に関する書類は一切見付かりませんでした。","#<name>씨는 니오 씨가 지휘관으로 추천했지만, 자료실에서는 #<non>관련된 서류는 일절 찾지 못했습니다."
,"100110025","……","……"
,"100110026","私の方こそ……お待たせしました。","저야말로… 기다리셨습니다."
,"100110027","AG-01B ニオ・サイレン、ただいまをもって現場に復帰いたします。","AG-01B 니오 사이렌 지금 즉시 현장에 복귀하겠습니다."
,"100110028","#<name>さんはニオさんが指揮官に推薦したのですが、資料室からは#<non>に関する書類は一切見付かりませんでした。","#<name>씨는 니오 씨가 지휘관으로 추천했지만, 자료실에서는 #<non>관련된 서류는 일절 찾지 못했습니다."
,"100110029","軍隊に所属していたんですよね……なにか隠しごとでもあるのですか？","군대에 소속되어 있었군요… 뭔가 비밀이라도 있는 것입니까?"
,"100110030","……まあいいです、先程の活躍がすべてを物語っていますので。","뭐 좋습니다, 조금 전의 활약이 모든 것을 말해 주고 있기 때문에."
,"100110031","あなたを信じましょう、#<name>さん。","당신을 믿어요 #<name>님."
,"100110032","……まあいいです、先程の活躍がすべてを物語っていますので。","뭐 좋습니다, 조금 전의 활약이 모든 것을 말해 주고 있기 때문에."
,"100110033","あなたを信じましょう、#<name>さん。","당신을 믿어요 #<name>님."
,"100110034","現状の報告です。AGたちの準備は整いました……ですが、まだ出航は難しい状況です。","현황의 보고입니다. AG들의 준비는 갖추어졌습니다만, 아직 출항은 어려운 상황입니다."
,"100110035","艦尾にある動力室の損傷が激しいため、まだ修理を行っている最中ですから……","함미에 있는 동력실의 손상이 심해서 아직 수리를 하고 있는 중이니까요……"
,"100110036","あの時の衛星兵器のせいですね。修理の進捗はどうですか？","그때의 위성 무기 때문이군요.수리 진척이 어떻습니까?"
,"100110037","あまり順調ではありませんね。噂によると、近くのアジュールシティにて小規模の傀儡化現象が発生しているとか……","별로 순조롭지가 않네요.소문에 의하면, 근처의 아주르시티에서 소규모의 괴뢰화 현상이 발생하고 있다던가……."
