Confirmed, Source, KOR, HelpId
," <color=#42ebff>回避率大幅上升：</color>回避率上升75%"," <color=#42ebff>회피율이 대폭 상승하다.</color>회피율이 75%상승하였다.","100201"
," <color=#42ebff>应急装置：</color>状态持续回合内死亡时，将会以30%生命值复活"," <color=#42ebff>비상장치:</color>컨디션 지속 라운드 내 사망 시 생명치 30%로 살아날 것이라고 말했다.","100201"
," <color=#42ebff>持续恢复：</color>回合开始时恢复生命值"," <color=#42ebff>지속적 복구:</color>라운드 시작 시 생명치 회복","100201"
," <color=#42ebff>攻击力上升：</color>攻击力上升50%"," <color=#42ebff>공격력 상승:</color>공격력 50%상승","100201"
," <color=#42ebff>攻击力大幅上升：</color>攻击力上升75%"," <color=#42ebff>공격력이 대폭 상승하다:</color>공격력 75%상승","100201"
," <color=#42ebff>无敌：</color>一定次数的伤害无效"," <color=#42ebff>무적:</color>일정 횟수의 상해는 무효이다.","100201"
," <color=#42ebff>暴击伤害上升：</color>暴击伤害上升50%"," <color=#42ebff>폭격 피해 상승:</color>폭격 피해 50%상승","100201"
," <color=#42ebff>暴击伤害大幅上升：</color>暴击伤害上升75%"," <color=#42ebff>폭격으로 인한 피해가 크게 증가하였다.</color>폭동 피해 75%상승","100201"
," <color=#42ebff>暴击抗性上升：</color>暴击抗性上升50%"," <color=#42ebff>폭격 저항성 상승:</color>폭격 저항이 50%상승하였다.","100201"
," <color=#42ebff>暴击抗性大幅上升：</color>暴击抗性上升75%"," <color=#42ebff>폭격에 대한 저항이 대폭 상승하다.</color>폭격 저항성 75%상승","100201"
," <color=#42ebff>暴击率上升：</color>暴击率上升50%"," <color=#42ebff>폭격률 상승:</color>폭격률이 50%상승하다","100201"
," <color=#42ebff>暴击率大幅上升：</color>暴击率上升75%"," <color=#42ebff>폭격률이 대폭 상승하다.</color>폭격률이 75%상승하다","100201"
," <color=#42ebff>状态命中上升：</color>状态命中上升50%"," <color=#42ebff>텐션 적중 상승:</color>컨디션 명중 50%상승","100201"
," <color=#42ebff>状态抗性上升：</color>状态抗性上升50%"," <color=#42ebff>상태 내성 상승:</color>상태 내성 50%상승","100201"
," <color=#42ebff>速度上升：</color>速度上升30%"," <color=#42ebff>속도 상승:</color>속도 30%상승","100201"
," <color=#42ebff>速度大幅上升：</color>速度上升50%"," <color=#42ebff>속도가 대폭 상승하다:</color>속도 50%상승","100201"
," <color=#42ebff>防御力上升：</color>防御力上升60%"," <color=#42ebff>방어력 상승:</color>방어력 60%상승","100201"
," <color=#42ebff>防御力大幅上升：</color>防御力上升90%"," <color=#42ebff>방어력이 대폭 상승하다:</color>방어력 90%상승","100201"
," <color=#42ebff>防护罩：</color>吸收伤害"," <color=#42ebff>보호대:</color>상해를 흡수하다","100201"
," <color=#42ebff>隐匿：</color>多个目标时无法被选中，受到范围攻击伤害降低50%"," <color=#42ebff>숨김:</color>여러 개의 타겟이 선택되지 않아 범위 공격 피해를 50%감소시킵니다.","100201"
,"弱化效果","약화효과","100202"
,"攻击弱化","공격이 약화","100202"
,"特殊弱化","특수약화","100202"
,"防御弱化","방어 약화","100202"
," <color=#ff4242>不可强化：</color>状态回合内无法添加强化状态"," <color=#ff4242>강화 불가:</color>상태 라운드 내 강화 상태 추가 불가","100202"
," <color=#ff4242>不可恢复：</color>状态回合内无法恢复生命值"," <color=#ff4242>복구할 수 없음:</color>상태 라운드 동안 생명치를 회복할 수 없음","100202"
," <color=#ff4242>命中率下降：</color>命中率下降50%"," <color=#ff4242>명중률 감소:</color>명중률 50%감소","100202"
," <color=#ff4242>命中率大幅下降：</color>命中率下降75%"," <color=#ff4242>명중률이 크게 떨어졌다.</color>명중률 75%감소","100202"
," <color=#ff4242>宕机：</color>持续回合内无法行动，受到攻击时被暴击率上升100%；受到伤害时解除宕机状态"," <color=#ff4242>다운사이징:</color>계속 라운드 동안 움직이지 못하고 공격당할 경우 폭격률 100%상승, 부상당할 경우 다운상태 해제","100202"
," <color=#ff4242>封锁：</color>只能使用基本攻击，无法使用主动技能"," <color=#ff4242>봉쇄:</color>기본 공격만 사용할 수 있고 액티브 스킬은 사용할 수 없습니다.","100202"
," <color=#ff4242>挑衅：</color>轮到回合行动时，强制使用基本技能攻击该状态的添加者"," <color=#ff4242>도전:</color>라운드 작전 시 기본기를 강제로 사용하여 해당 상태의 추가자를 공격합니다.","100202"
," <color=#ff4242>攻击力下降：</color>攻击力下降50%"," <color=#ff4242>공격력 감소:</color>공격력 50%감소","100202"
," <color=#ff4242>攻击力大幅下降：</color>攻击力下降75%"," <color=#ff4242>공격력 대폭 감소:</color>공격력 75%감소","100202"
," <color=#ff4242>暴击伤害下降：</color>暴击伤害下降50%"," <color=#ff4242>폭격 피해 감소:</color>폭격 피해가 50%감소하다","100202"
," <color=#ff4242>暴击伤害大幅下降：</color>暴击伤害下降75%"," <color=#ff4242>폭격으로 인한 피해가 크게 감소하였다.</color>폭격 피해가 75%감소하였다.","100202"
," <color=#ff4242>暴击率下降：</color>暴击率下降50%"," <color=#ff4242>폭격률 감소:</color>폭격률 50%감소","100202"
," <color=#ff4242>暴击率大幅下降：</color>暴击率下降75%"," <color=#ff4242>폭격률이 대폭 감소하였다.</color>폭격률 75%감소","100202"
," <color=#ff4242>束缚：</color>不会受到行动条增减效果的影响"," <color=#ff4242>속박:</color>행동게이지 증감 효과의 영향을 받지 않는다.","100202"
," <color=#ff4242>标记：</color>被标记，受到伤害增加15%"," <color=#ff4242>태그:</color>표시됨, 피해 15%증가","100202"
," <color=#ff4242>状态命中下降：</color>状态命中下降50%"," <color=#ff4242>상태 명중 저하:</color>컨디션 명중 50%하락","100202"
," <color=#ff4242>状态抗性下降：</color>状态抗性下降50%"," <color=#ff4242>상태 내성 저하:</color>상태 내성 50%감소","100202"
," <color=#ff4242>眩晕：</color>持续回合内无法行动"," <color=#ff4242>현기증:</color>계속 라운드 동안 움직일 수 없다.","100202"
," <color=#ff4242>速度下降：</color>速度下降30%"," <color=#ff4242>속도 하강:</color>속도 하강 30%","100202"
," <color=#ff4242>速度大幅下降：</color>速度下降45%"," <color=#ff4242>속도가 대폭 감소하다:</color>속도 하강 45%","100202"
," <color=#ff4242>防御力下降：</color>防御力下降70%"," <color=#ff4242>방어력 하강:</color>방어력 하강 70%","100202"
," <color=#ff4242>防御力大幅下降：</color>防御力下降100%"," <color=#ff4242>방어력 대폭 하강:</color>방어력 하강 100%","100202"
,"持续伤害","지속적 상해","100203"
,"持续伤害效果","지속상해효과","100203"
," <color=#000000>烧伤：</color>造成攻击力60%的伤害，无视70%的防御力，根据添加烧伤状态时攻击者的攻击力,防御力根据造成伤害时的防御力计算"," <color=#000000>화상:</color>공격력의 60%를 상하게 하고 70%의 방어력을 무시하며 화상상태 추가시 공격자의 공격력에 따라 방어력은 상해를 입혔을때의 방어력에 따라 산출","100203"
," <color=#000000>电击：</color>造成攻击力30%的伤害，无视70%的防御力，根据添加电击状态时攻击者的攻击力,防御力根据造成伤害时的防御力计算"," <color=#000000>전기 쇼크:</color>공격력 30%의 피해를 입히고 70%의 방어력을 무시하며 전기충격상태 추가시 공격자의 공격력에 따라 방어력은 피해를 입혔을때의 방어력에 따라 산출","100203"
," <color=#000000>腐蚀：</color>造成目标最大生命值5%的伤害，无视减伤状态"," <color=#000000>부식:</color>목표 최대 생명치 5%상해, 감상 상태 무시","100203"
,"战场信息","전장 정보","100300"
,"人物头像越靠下，头像下方的百分数越接近<color=#FF0000>100%</color>，则越先出手。","인물 프로필 사진이 아래로 갈수록, 프로필 사진 아래의 백분수가 더 가까워진다.<color=#FF0000>100%</color>그러면 할수록 먼저 나선다.","100301"
,"即可显示出当前回合，当前状态下即将进行的行动顺序，以及确认敌方将要释放的技能。","현재 라운드, 현재 상태에서 진행 중인 행동순서를 나타낼 수 있으며, 적이 방출될 기능을 확인할 수 있습니다.","100301"
,"在战斗当中点击下方的行动条","전투 중 아래쪽의 행동지 클릭하기","100301"
,"当自身的行动条达到100%时","자신의 행동 패턴이 100%가 될 때","100301"
,"所有AG、傀儡和机甲在战斗中都有其行动条","모든 AG와 괴뢰와 기갑은 전투에서 모두 그 행동게이지건이 있다.","100301"
,"是敌我角色的属性","적과 아역의 속성이다.","100301"
,"自身的回合就会开始,会因以下情况有所增减。","자체 라운드가 시작되며 다음과 같은 사정에 의해 증감될 수 있습니다.","100301"
,"行动条","행동게이지서","100301"
,"行动顺序","행동순서","100301"
,"行动顺序仅显示当前回合下的行动状况，在战斗可能会收到来自人物，技能，状态效果等因素造成的行动顺序的改变，请指挥官根据实际情况进行确认。","행동 순서는 현재 라운드에서의 행동 상황만을 나타내며, 전투에서는 인물, 기능, 상태 효과 등에 의해 행동 순서가 변경될 수 있으므로 지휘관이 실제 상황에 맞게 확인하도록 합니다.","100301"
,"速度值的高低将影响行动条自然推进的快慢。\n在战斗中，可以通过各种技能效果来提升或减少行动条的进度。当回合结束时，无论其行动条在行动时达到多少，都会被重置为<color=#0066CC>0%</color>。","속도값의 높낮이는 행동 방향이 자연스럽게 추진되는 속도에 영향을 줄 수 있다.\n전투에서는 다양한 기능적 효과를 통해 행동의 진척도를 높이거나 줄일 수 있다.라운드가 끝날 때 그 행동의 방향이 얼마나 되든 간에 리셋된다.<color=#0066CC>0%</color>。","100301"
,"1.每当战斗开始时，敌我角色都会随机提升自身行动条<color=#FF0000>0~5%</color>，再按照自身速度开始提升行动条。（若两个角色速度相近，该情况可能导致速度慢的角色先开始回合）","1. 전투가 시작될 때마다 적과 아역은 무작위로 자신의 행동 패턴을 끌어올린다.<color=#FF0000>0~5%</color>그리고 자신의 속도에 맞춰 행동게이지절을 올리기 시작한다.(두 캐릭터의 속도가 비슷하다면 이 경우 속도가 느린 캐릭터부터 라운드를 시작할 수도 있다.","100301"
,"2.速度","2. 속도","100301"
,"3.若受技能影响致使两名角色的行动条同时达到或超过<color=#FF0000>100%</color>，超出数值较多的角色会先开始回合。","3. 기능적인 영향을 받아 두 캐릭터의 행동게이지건이 동시에 도달하거나 초과할 경우<color=#FF0000>100%</color>수치를 넘는 캐릭터가 먼저 라운드를 시작한다.","100301"
,"义肢化率","의지화율","100302"
,"义肢化率：义肢化率的高低将会影响AG连续作战的回合数。义肢化率越高，所能连续战斗的回合数越低。连续作战的回合数按照义肢化率的高低，通常为<color=#000000>15~30回合。</color>","의지화율: 의지화율의 높낮이가 AG 연속작전의 라운드 수에 영향을 줄 수 있다.의지화율이 높을수록 연속해서 싸울 수 있는 이닝 수는 낮아진다.연속 작전의 라운드 수는 의지화율의 높낮이에 따라, 보통이다.<color=#000000>15~30라운드.</color>","100302"
,"冷却时间将在角色的<color=#FF0000>回合结束</color>时减少一回合。","쿨링 타임은 캐릭터의<color=#FF0000>라운드 종료</color>한 회전이 줄어들다.","100302"
,"在战斗当中敌我角色除基础攻击技能外，大部分技能都会有技能冷却时间。","전투에서 적과 아역은 기초공격 기능을 제외하고는 대부분 스킬 쿨타임시간을 갖는다.","100302"
,"在战斗当中，点击屏幕左下方的战术点按钮，即可确认当前的战术点数量，以及携带的支援AG。","전투 중 화면 왼쪽 아래에 있는 전술점 버튼을 클릭하면 현재 전술점 수와 휴대 지원 AG를 확인할 수 있다.","100302"
,"当战术点数量积累到可以释放支援战姬时，可释放的支援战姬将会高亮进行显示。","지원 전희를 석방할 수 있을 정도로 전술 포인트가 쌓이면 석방할 수 있는 지원 전희가 빛을 발한다.","100302"
,"当自身回合开始，使用带有冷却时间的主动技能后，该技能直到技能冷却回复为止将无法再次使用。","자체 라운드가 시작되면 쿨타임시간이 걸린 능동적인 기능을 사용하면 해당 기능은 쿨타임이 재개될 때까지 재사용할 수 없다.","100302"
,"战斗信息","전투 정보","100302"
,"技能冷却","기능 쿨타임","100302"
,"支援AG","지원 AG","100302"
,"绝大部分AG都曾接受了义肢化改造，来提高自身的作战能力。但由于其自身仍是人类，若经过长时间的战斗，自身将会产生排异反应，作战机兵不会产生排异反应。","대부분 AG가 의지화 개조를 받아 작전 능력을 향상시켰다.그러나 인간이기 때문에 오랜 전투를 거치면 스스로 배이반응을 일으킬 수 있고, 작전기병은 배이반응을 일으키지 않는다.","100302"
,"被动技能不会受到技能冷却时间增加/技能冷却时间减少效果的影响。","수동기능은 기능쿨타임시간 증가/기능쿨타임시간 감소효과에 영향을 받지 않는다.","100302"
,"连续作战：若一场战斗存在多波敌人，连续作战的回合数将会累加。部分玩法将不受到义肢化率的影响。","연속작전: 한 전투에 다파 적이 존재할 경우 연속작전의 이닝 수는 누적된다.일부 플레이는 의지화율에 영향을 받지 않는다.","100302"
,"部分角色技能将带有技能冷却时间增加/技能冷却时间减少效果，可以额外增加/减少技能冷却时间。","일부 캐릭터 스킬은 스킬 쿨타임시간 증가/스킬 쿨타임시간 감소 효과가 있어 스킬 쿨타임시간을 추가로 증가/감소할 수 있습니다.","100302"
,"但2号位、3号位、4号位的AG，受到敌人攻击的几率相同。","그러나 2번, 3번, 4번 AG는 적의 공격을 받을 확률이 같다.","100303"
,"偏好设定：点击屏幕右上方的箭头即可对自动战斗设置偏好设定","선호도 설정: 화면의 오른쪽 위에 있는 화살표를 누르면 자동 전투에 대한 선호도 설정을 할 수 있습니다.","100303"
,"其他","기타","100303"
,"即可按照指挥官所设置的偏好设定自动进行战斗。","지휘관이 설정한 선호 설정에 맞춰 자동으로 전투를 수행할 수 있다.","100303"
,"同时根据所处玩法以及场景的不同，战术信息所能显示内容也会有所不同，请指挥官灵活进行运用。","전술정보는 플레이하는 내용과 상황에 따라 내용이 달라지므로 지휘관의 원활한 운용이 요구된다.","100303"
,"在战斗信息当中，指挥官可以确认当前关卡的任务目标、当前奖励、战术点、地图信息以及AG状态。","전투 정보에서 지휘관은 현재 관문의 임무 목표, 현재 보상, 전술 포인트, 지도 정보, AG 상태를 확인할 수 있다.","100303"
,"在编队界面当中，站位顺序将会影响进入战斗后的受到攻击的优先级。","편대 인터페이스에서 입석 순위는 전투에 돌입했을 때 공격의 우선순위에 영향을 미칠 수 있다.","100303"
,"在非战斗的场景当中，指挥官可以点击左上角的雷达地图，确认战场信息。","비전투 장면에서 지휘관은 좌측 상단에 있는 레이더 지도를 클릭해 전장 정보를 확인할 수 있다.","100303"
,"战场信息","전장 정보","100303"
,"点击屏幕右上方的自动战斗","화면 오른쪽 위의 자동 전투를 클릭합니다","100303"
,"编队站位","편대를 지어 자리를 잡다.","100303"
,"自动战斗","자동 전투","100303"
,"部署在1号位上的AG，将会比其他位置的AG更容易成为敌方攻击的目标。","1번 자리에 배치된 AG는 다른 위치에 있는 AG보다 적 공격의 표적이 되기 쉽다.","100303"
,"伤害判定","상해판정","100400"
,"偏斜判定","비스듬히 판정하다","100401"
,"偏斜：当使用攻击技能时，将按照以下公式进行判定。","스큐: 공격 스킬을 사용할 경우 다음과 같은 공식에 따라 판정합니다.","100401"
,"发生重击时，该次攻击的伤害量将会提升30%，在战斗中将会以较大的字体进行显示。","펀치 발생 시 해당 공격의 피해량이 30%증가하며 전투 중 더 큰 글꼴로 표시됩니다.","100401"
,"当敌我使用攻击类的技能时。将根据攻击者的属性以及攻击目标的属性来判定是否发生暴击、偏斜以及重击。","적과 아군이 공격 기법을 사용할 때.공격자의 속성과 공격 대상자의 속성에 따라 폭격, 스큐, 펀치 발생 여부를 판정한다.","100401"
,"当该次攻击被偏斜时，造成的伤害将会被降低25%，不会触发暴击和重击，技能附加的大部分弱化效果也不会触发。","이 공격이 빗나갔을 때 피해는 25%감소해 폭격과 펀치를 유발하지 않고, 기능 부가적인 대부분의 약화 효과도 유발하지 않는다.","100401"
,"攻击判定","공격판정","100401"
,"暴击","폭격하다","100401"
,"暴击造成的伤害将会按照攻击者的暴击伤害属性提升伤害量，在战斗中会以橘红色字体显示。","폭격으로 인한 피해는 공격자의 폭격 피해 속성에 따라 피해량이 증가하며 전투 중에는 주황색 글씨로 표시된다.","100401"
,"暴击：攻击技能命中时，将按照以下公式进行判定。","폭격: 공격 스킬이 명중할 경우 다음의 공식에 따라 판정한다.","100401"
,"重击判定","펀치 판정","100401"
,"重击：当攻击技能没有发动暴击时，将会有25%的几率发动重击，属性相克时重击率将会上升到75%。","펀치: 공격 기능이 없는 경우 25%의 확률로 펀치를 가하며, 속성 상극일 경우 펀치율이 75%까지 상승한다.","100401"
,"装备","장치하다","100500"
,"一件装备的属性由主要属性和附加属性而组成。","하나의 장치 속성은 주요 속성과 추가 속성으로 구성된다.","100501"
,"为装备给予穿戴AG提供的主要属性，根据穿戴位置的不同，主要属性也会有所区别。","장비는 착용 AG에게 주어지는 주요 속성을 착용 위치에 따라 구분할 수 있습니다.","100501"
,"主要属性","주요 속성","100501"
,"但速度属性只会在","속도 속성만 있을 뿐입니다","100501"
,"增幅元件","증폭소자","100501"
,"增幅元件当中出现","증가폭 소자에서 출현하다.","100501"
,"按照属性的高低程度分为不同的品质，从颜色上表现从低到高分为:<color=#6ef258>绿色</color>、<color=#42ebff>蓝色</color>、<color=#fa70ff>紫色</color>、<color=#fff15b>金色</color>","속성의 높낮이에 따라 다른 품질로 구분되며, 색상 표현은 낮은 것에서 높은 것으로 구분됩니다.<color=#6ef258>녹색</color>、<color=#42ebff>푸른 색</color>、<color=#fa70ff>자주색</color>、<color=#fff15b>금색</color>","100501"
,"推进系统当中出现","추진 시스템에 출현하다","100501"
,"推进系统  ","추진 시스템","100501"
,"暴击率与暴击伤害属性只会在","폭격률과 폭격 피해 속성만 있을 뿐","100501"
,"武器系统的主要属性固定为攻击","무기 체계의 주요 속성은 공격으로 고정되어 있다.","100501"
,"状态命中与状态抗性属性只会在","상태 명중과 상태 항성 속성만 있을 뿐","100501"
,"的主要属性并不固定","주요 속성은 일정하지 않다.","100501"
,"瞄准元件中出现","조준 소자에 나타나다","100501"
,"瞄准元件  ","조준소자","100501"
,"能源系统的主要属性固定为生命","에너지 시스템의 주요 속성은 생명으로 고정되어 있다.","100501"
,"装备属性","장치 속성","100501"
,"防护系统的主要属性固定为防御","방호 시스템의 주요 속성은 방어로 고정되어 있다.","100501"
,"附加属性","추가 속성","100501"
,"附加属性在装备获取时就已经决定，不会随着强化等级的提升而增加","추가 속성은 장비 획득 시 결정되며 강화 등급이 올라갈수록 증가하지 않음","100501"
,"附加属性所提供的的属性种类并不固定，随着装备等级的强化，附加属性的词条将逐个解锁，按照装备品质的稀有程度最多拥有4个附加属性。","부가적인 속성이 제공하는 속성의 종류는 일정하지 않으며, 장비 레벨이 강화됨에 따라 부가적인 속성의 표제어들은 하나씩 잠금 해제되며, 장비 품질의 희귀도에 따라 최대 4개의 부가적인 속성을 갖게 된다.","100501"
,"分解","분해.","100502"
,"功能可以将指挥官不需要的装备分解为资金，但装备一旦分解，便无法复原，请指挥官慎重操作。","지휘관이 필요하지 않은 장비를 자금으로 분해하는 기능이었지만 막상 분해하면 복구가 불가능하니 지휘관은 신중하게 움직였다.","100502"
,"功能，对强化等级、获得时间、装备品质、主要属性、星级、武装和装备状态进行排序。","기능, 강화 등급, 획득 시간, 장비 품질, 주요 속성, 별, 무장, 장비 상태를 정렬한다.","100502"
,"功能，对装备的星级、武装属性、主要属性及次要属性进行筛选，找到指挥官想要看到的装备","기능, 장비의 별, 무장 속성, 주요 속성 및 부차적인 속성을 선별하여 지휘관이 원하는 장비를 찾아내는 기능","100502"
,"可以扩充仓库上限，最多可扩充至600个。","창고 상한선을 최대 600개까지 늘릴 수 있다.","100502"
,"可以通过排序","정렬 가능","100502"
,"右侧放入素材装备","오른쪽에 소재 장비 넣기","100502"
,"同样是决定装备属性的重要决定因素，星级越高，装备的主属性值就越高。同时附属词条的属性范围，也会随着星级的增加而得到提升。","역시 장비의 속성을 결정하는 중요한 결정요소로 별이 올라갈수록 장비의 주속성 값이 높아진다.또 부속 표제어의 속성 범위도 별의 증가에 따라 향상된다.","100502"
,"在仓库的【装备】界面中，可以通过筛选","창고의 [장비] 경계면에서, 선별을 통과할 수 있다.","100502"
,"在家园当中的科研舰中，可以进行装备与装备的合成，能够将素材装备的副属性替换至主要装备当中。","집안에 있는 연구함에서 장비와 장비의 합성이 가능해 소재 장비의 부속성을 주요 장비로 교체할 수 있다.","100502"
,"在左侧放入主要装备","왼쪽에 메인 장비를 넣고","100502"
,"在战斗当中，指挥官可以获得各种各样的装备，装备品质颜色根据装备的附属词条数量决定","전투에서 지휘관은 다양한 장비를 얻을 수 있으며, 장비 품질의 색상은 장비의 부속 표제어 수에 따라 결정된다.","100502"
,"在经过合成后，素材装备将会失，且装备强化等级会维持主要装备的强化等级。","합성을 거치면 소재 장비가 상실되고 장비 강화 등급은 주요 장비의 강화 등급을 유지하게 된다.","100502"
,"强化装备可以使用其他装备和【晶片】","강화 장비는 다른 장비와 [웨이퍼]를 사용할 수 있다.","100502"
,"战姬装备将会大幅度的提升战姬的各项能力值。","전희 장비는 전희의 각종 능력치를 대폭 끌어올린다.","100502"
,"来强化装备，星级越高的装备，所能提供的经验值便越高。","장비를 강화하면 별이 높은 장비일수록 제공할 수 있는 경험치가 높아진다.","100502"
,"消耗一定数量的资金后，主要装备的副属性将会完全替换为素材装备的副属性，套装效果不会转移。","일정 금액을 소비하면 주 장비의 부속성이 소재 장비의 부속성으로 완전히 바뀌어 세트 효과가 전이되지 않는다.","100502"
,"点击界面下方的加号","인터페이스 아래에 있는 더하기 번호를 클릭합니다.","100502"
,"若主要装备的副属性词条数量高于素材装备，在经过合成后词条数量会变为与素材装备一致，请慎重操作。","주 장비의 부속성 표제어 수가 소재 장비보다 많을 경우 합성을 거친 후 표제어 수가 소재 장비와 일치하게 되므로 신중하게 조작하시기 바랍니다.","100502"
,"若使用已经受到强化的装备作为材料，所能获得的经验值将会有所降低。","강화된 장비를 소재로 사용하면 얻을 수 있는 경험치가 줄어든다.","100502"
,"装备养成","장비양성","100502"
,"装备合成","장비합성","100502"
,"装备品质","장비품질","100502"
,"装备强化","장비강화","100502"
,"装备强化的等级越高，装备附加的能力值也会越高，不同的装备位置所带来的的能力提升各不相同，最多可强化15次。","장비 강화 등급이 높을수록 장비 추가 능력치가 높아지고, 장비 위치에 따른 능력 향상은 최대 15회까지 달라진다.","100502"
,"装备的【星级】","장비의 [별]","100502"
,"装备管理","장비관리","100502"
,"装备套装效果","장비 세트 효과","100600"
,"应许之地","승낙의 땅","100601"
,"监禁之城","감금의 도시","100601"
,"装备套装","장비 세트","100601"
,"静默独奏","침묵 독주","100601"
," 免疫套装：开始战斗时，获得1回合免疫状态","면역세트 : 전투 시작 시 1라운드 면역상태 획득","100601"
," 反击套装：反击率提升20%","반격 세트 : 반격률 20%향상","100601"
