Confirmed, Source, KOR
O,"实验人员","실험 인원"
,"寄生型傀儡师","기생형 괴뢰사"
O,"导演","감독"
O,"小丑模样的AG","어릿광대 모양의 AG"
O,"小女孩","소녀"
O,"小女孩的父亲","소녀의 아버지"
O,"小托利","어린 토리"
O,"小时候的可琳姆","어릴 적 크림"
O,"小町","코마치"
,"少女的声音","소녀의 목소리"
O,"尤伊","유이"
,"巧克力里的猫球","초콜릿 속 캣볼"
O,"已经傀儡化的克拉丽丝","이미 괴뢰화된 클라리스"
,"布瑞尔","브릴"
,"布瑞尔&霍莉","브릴&홀리"
,"布瑞尔&霍莉&索菲亚","브릴&홀리&소피아"
O,"布鲁","브루"
O,"布鲁&凯蒂","브루&케이티"
,"希尔娜","힐나"
O,"希尔维娅","실비아"
O,"希尔维娅&夏洛蒂","실비아&샤를롯"
O,"希尔雷安","세르리안"
O,"希琳","히아린"
O,"希里乌斯","시리우스"
O,"希里乌斯&莫丽丝","시리우스&모리스"
O,"帕芙妮丝","파보니스"
O,"常服天青之翼","평소복장 푸른하늘의 날개"
O,"常服天青之翼2","평소복장 푸른하늘의 날개2"
O,"年幼的希尔维娅","어린 실비아"
O,"年幼的莉莉","어린 릴리"
O,"年轻气盛的男人","젊고 의기가 왕성한 남자"
,"幻影","환영"
O,"幼年的奈莫菲拉","어린 네모필라"
O,"幼年的维尔贝娜","어린 베르베나"
O,"幽灵","고스트"
O,"库努特","쿠누트"
O,"库努特、奎因","쿠누트, 퀸"
O,"库努特的声音","쿠누트의 목소리"
O,"康得尔","콘도르"
O,"康德尔","콘도르"
O,"康德尔记忆中的研究员","콘도르가 기억하는 연구원"
O,"康纳","칸나"
O,"康纳的声音","칸나의 목소리"
O,"开朗的军官","명랑한 장교"
O,"弗莱","프라이"
O,"弗莱&辛迪","프라이&신디"
,"当家？","당가?"
,"微弱的声音","가냘픈 목소리"
O,"德拉","델라"
O,"德拉&尤伊","델라&유이"
,"德拉&尤伊&菲尔","드라&유이&필"
O,"忍","시노부"
O,"忧心忡忡的听众","시름에 잠긴 청중"
,"思考推演中的法官","추연 중인 법관을 생각하다"
,"急切的声音","다급한 목소리"
O,"恐惧傀儡的人","괴뢰를 무서워하는 사람"
O,"惊慌的女性","당황한 여성"
O,"感觉新奇的听众","신기해 하는 청중"
O,"戈雅","고야"
O,"成熟的女声？","성숙한 여자 목소리?"
O,"成熟的女性？","성숙한 여성?"
,"戴安娜","다이애나"
O,"戴恩","데인"
,"戴恩、丽姬特","데인, 리히터"
O,"戴恩、舞华","데인, 마이카"
O,"戴着兔耳接收器的AG","토끼귀모양 수신기를 쓴 AG"
,"房间里的希尔维娅","방 안의 힐비아"
O,"托妮","토니"
O,"托妮&安迪","토니&앤디"
O,"托妮&安迪&梅尔","토니&앤디&멜"
,"扮成克拉丽丝的AG","클래리스 분장을 한 AG"
,"扮成奥托露娜女王的AG","오토루나 여왕으로 분장한 AG"
,"扮成奥托露娜骑士的AG","오토루나 기사로 분장한 AG"
,"扮成阵线首脑的AG","전선 수장으로 분장한 AG"
,"找茬的学生","트집을 잡는 학생"
,"技术人员","기술자"
O,"拿着电锯的AG","전기톱을 든 AG"
O,"指挥型AG","지휘형AG"
O,"指挥官","지휘관"
,"捂着肚子的病患","배를 가린 환자"
,"接待员","안내원"
,"提诺诺","티노노"
O,"摆弄机械触手的AG","기계 촉수를 만지는 AG"
,"播报","방송"
O,"放松下来的听众","느슨해진 청중"
,"旁听庭审的地表居民","재판장을 방청하는 지표면 주민"
,"旁听庭审的骑士","재판을 방청하는 기사"
,"旁听的地表居民","방청객"
,"旁听的贵族","방청객"
,"旁听的AG","방청객 AG"
,"暴走的猫球","폭주하는 캣볼"
O,"有着巨大机械臂的AG","거대 로봇팔을 가진 AG"
,"未知傀儡师","미지의 괴뢰사"
O,"杰西","제시"
O,"杰西、戴恩","제시, 데인"
O,"杰西、舞华","제시, 마이카"
,"果断的声音","단호한 목소리"
O,"某阵线军官","모 전선 장교"
O,"某阵线小队队员","모 전선 소대 대원"
O,"柰莎","나이사"
O,"格蕾丝","그레이스"
O,"格里尔","그리아"
O,"桃香","토우카"
O,"梅可","메코"
,"梅可的声音","메코의 목소리"
O,"梅尔","멜"
,"梅尔、蕾拉","멜 레이라"
,"梅尔的声音","멜의 목소리"
,"梅尔的通讯声？","멜의 메시지는?"
O,"梅尔&安迪","멜&앤디"
O,"梅尔&托妮","멜&토니"
O,"梅尔&菲蒂","멜&피티"
O,"梅尔&蕾拉&妮欧","멜&레일라&니오"
O,"樱之魔法少女？","벚꽃의 마법소녀?"
,"正在叙述的夏洛蒂","서술 중인 샬로티"
,"正在叙述的法官","서술 중인 판사"
,"正在听叙述的指挥官","서술을 듣고 있는 지휘관"
,"正在录像的妮欧","녹화 중인 니오"
,"正在看录像的指挥官","비디오를 보고 있는 지휘관"
,"正在维修的机器人","수리 중인 로봇"
,"正在观看录像的帕芙妮丝","비디오를 보고 있는 파보니스"
,"正在观看录像的指挥官","비디오를 보고 있는 지휘관"
O,"母亲？","어머니?"
O,"沙漠的AG","사막의 AG"
O,"沙漠的AG丙","사막의 AG병"
O,"沙漠的AG乙","사막의 AG을"
O,"沙漠的AG甲","사막의 AG갑"
O,"法官","판사"
O,"洛可","로코"
O,"洛贝莉亚","로벨리아"
O,"流浪者","유랑자"
O,"流浪者的孩子","유랑자의 아이"
O,"流浪者的孩子们","유랑자의 아이들"
O,"流浪者的孩子A","유랑자의 아이A"
O,"流浪者的孩子B","유랑자의 아이 B"
O,"流浪者的孩子C","유랑자의 아이C"
O,"流浪者A","유랑자 A"
O,"流浪者B","유랑자 B"
O,"测试","테스트"
,"测试1","테스트 1"
,"测试2","테스트 2"
,"测试3","테스트 3"
,"测试4","테스트 4"
,"涅普顿家族长","넵튠 가족장"
O,"深黯","다크딥"
O,"温妮","위니"
,"温柔的声音","부드러운 목소리"
O,"火之魔法少女？","불의 마법소녀?"
O,"焦虑的男性","초조한 남성"
O,"焦躁不安的女性","초조하고 불안한 여성"
O,"爱丽丝","앨리스"
O,"爱莉","아이리"
O,"父亲？","아버지?"
O,"特斐尔","토이펠"
,"猫球","캣볼"
,"猫球大总统","캣볼 대통령"
O,"玛奇","마키"
O,"玛格特","마르고트"
O,"琉璃","루리"
O,"琪琪","키키"
O,"瑞文","르웬"
O,"瓦蕾莉亚","발레리아"
,"电子女声","여자 전자음성"
O,"男人","남자"
,"看守机器人","간수로봇"
O,"看着义肢的少女","의족을 바라보는 소녀"
O,"矿团成员","광산단원"
O,"矿团成员A","광산단원A"
O,"矿团成员B","광산단원 B"
O,"矿团成员C","광산단원C"
O,"矿团成员D","광산단원 D"
O,"矿团成员E","광산단원 %"
O,"研究员A","연구원 A"
O,"研究员B","연구원 B"
O,"研究员C","연구원 C"
O,"研究员D","연구원 D"
O,"研究员E","연구원 %"
,"礼品店老板","선물가게 주인"
O,"神乐","카구라"
O,"神乐的声音","카구라의 목소리"
O,"神秘少女","신비한 소녀"
,"神秘的声音","신비한 소리"
,"科洛蒂娅","콜로티아"
,"科洛蒂娅·巴兰茨","콜로티아 발란츠"
O,"稍有品味的听众","조금 품위 있는 청중"
O,"空降师团的AG","공수사단의 AG"
O,"穿戴重型骨骼的AG","무거운 골격의 AG"
O,"竖琴师","하피스트"
,"第二通天港居民","제2통천항 주민"
O,"第16号调查报告","조사보고서 제16호"
O,"第25军的联络AG","제25군의 통신병AG"
O,"第42军的指挥负责AG","제42군의 지휘관 AG"
O,"第47军的指挥负责AG","제47군의 지휘관 AG"
O,"第47军&第25军","제47군&제25군"
O,"第48军的AG","제48군의 AG"
O,"第48军的AG们","제48군의 AG들"
O,"第48军AG们","제48군 AG들"
O,"篝","카가리"
O,"米尔维斯","밀버스"
O,"米歇尔","미셸"
,"糖糖","설탕"
O,"系统","시스템"
O,"系统留言","시스템 메시지"
O,"索尼娅","소니아"
O,"索菲亚","소피아"
,"紫苑菖蒲","자색의 창포"
,"红酒保镖","와인 보디가드"
O,"纱卡布拉","샤카브라"
O,"纽带的AG","유대의 AG"
O,"纽带的AG们","유대의 AG들"
O,"纽带部队的AG","유대부대의 AG"
O,"终端","단말기"
O,"经过处理的声音","처리된 소리"
O,"经过处理的女声","처리된 여자 목소리"
,"绯闻主编","스캔들 편집장"
O,"维多利亚","빅토리아"
O,"维尔贝娜","베르베나"
O,"缇安特","티안테"
O,"缇米","티미"
O,"编织者愤怒","편직자의 분노"
O,"罗伊斯","로이스"
O,"罗蕾莱","로렐라이"
O,"老师","선생님"
O,"联邦的“白色恶魔”？","연방의 '하얀 악마'?"
O,"胡桃","쿠루미"
,"舆论主编","여론 편집장"
O,"舞华","마이카"
,"舞蹈老师","무용 선생님"
O,"舰内广播","함내 방송"
,"舰桥的AG们","함교의 AG들"
,"舰队内响起的歌声","함대 안에서 울려 퍼지는 노랫소리"
O,"船长","캡틴"
O,"船长？","캡틴?"
O,"艾卡西亚","아카시아"
O,"艾维","아이비"
O,"艾维、古蕾","아이비, 그레이"
O,"艾维、奎因","아이비, 퀸"
O,"艾莉卡","에리카"
,"艾莉森护士","앨리슨 간호사"
O,"芙克希","폭시"
O,"苏利尔","수리엘"
,"莉拉","릴라"
,"莉拉·德西亚斯","릴라 데시아스"
,"莉拉的声音","릴라의 목소리"
O,"莉莉","릴리"
O,"莉迪亚","리디아"
,"莎兰娜","살레나"
,"莎兰娜&希尔娜","살레나&실나"
O,"莫丽丝","모리스"
O,"莱德","라이다"
,"莱莎","레자"
,"莱莎琳·斯托特","레절린 스토터"
,"莱莎的声音","레자의 목소리"
,"菖蒲","창포"
O,"菲尔","필"
O,"菲比","피비"
O,"菲蒂","피티"
O,"菲蒂&弗莱&辛迪","피티&프라이&신디"
O,"菲蒂&梅尔","피티&멜"
O,"菲蒂&辛迪","피티&신디"
O,"萝丝梅莉","로즈메리"
O,"萝丝梅莉、戴恩","로즈메리, 데인"
O,"落单的小女孩","외톨이 소녀"
O,"蕾娜斯","레이너스"
O,"蕾拉","레이라"
O,"蕾拉&妮欧","레이라&니오"
,"蕾拉&妮欧&梅尔","라일라&니오&멜"
,"蕾拉&梅尔","라일라&멜"
,"蕾拉&特斐尔","라일라&테파엘로"
O,"蕾蕾","레이레이"
O,"蕾薇希雅","레비시아"
O,"蝎型机械体","전갈형 기체"
O,"被乐声吸引的男人","음악에 매료된 남자"
O,"被称为首脑的少女","정상이라 불리는 소녀"
O,"裂缝章鱼","균열의 옥토퍼스"
O,"西尔维娅","실비아"
,"观看录像的庭审听众","비디오를 보는 법정 청중"
,"观看录像的法官","비디오를 보는 판사"
,"观看录像的骑士","비디오를 보는 기사"
O,"记录员","기록원"
,"记者？","기자?"
O,"论坛用户#14213","포럼 사용자 #14213"
O,"论坛用户#15477","포럼 사용자 #15477"
O,"论坛用户#2333","포럼유저#2333"
O,"论坛用户#24975","포럼유저#24975"
O,"论坛用户#31","포럼 사용자 #31"
O,"论坛用户#3446","포럼유저#3446"
O,"论坛用户#444222","포럼유저#444222"
O,"论坛用户#57924","포럼유저#57924"
O,"论坛用户#6487","포럼유저#6487"
O,"论坛用户#65535","포럼유저#65535"
O,"论坛用户#nofail（菲尔）","포럼유저#nofail (필)"
O,"语气温柔的女性","말투가 부드러운 여성"
,"谜之少女","수수께끼의 소녀"
O,"贝妮","베니"
O,"贝妮&萝丝梅莉","베니&로즈메리"
O,"负责守卫的AG","수비담당 AG"
O,"资料终端","데이터 단말기"
O,"赤鹰外表的AG","붉은독수리모습의 AG"
O,"路过的市民","지나가는 시민"
O,"身份不明的AG","정체불명의 AG"
O,"转学生","전학생"
O,"辛迪","신디"
O,"辛迪&弗莱","신디&프라이"
,"辛迪&菲蒂&弗莱","신디 & 피티 & 프라이"
O,"通信频道#1","통신 채널 # 1"
O,"通信频道#2","통신 채널 # 2"
O,"通信频道#3","통신 채널 # 3"
O,"通天港的居民","통천항의 주민"
,"通讯终端","통신단말기"
,"酒吧熟客","룸살롱 단골손님"
,"酒吧的人们","술집 사람들"
,"酒吧的常客","술집의 단골손님"
,"酒吧的常客们","술집의 단골손님들"
,"酒吧的熟客们","술집의 단골손님들"
,"酒吧老板","술집 주인"
O,"酒馆的常客","술집의 단골손님"
O,"铁笼","케이지"
O,"银河","긴가"
O,"链条","유대"
,"门禁系统","출입금지 시스템"
O,"阵线之鹰","전선의 매"
O,"阵线士兵","전선 병사"
O,"阵线的均衡型AG","전선의 균형형AG"
O,"阵线的重装型AG","전선의 중장형AG"
O,"阵线的AG","전선의 AG"
O,"阿尔玛","알마"
O,"阿特拉斯","아틀라스"
,"阿黛拉","아델라"
O,"零四","04"
O,"零四&妮欧","04&니오"
O,"霍莉","홀리"
O,"静心欣赏的听众","마음을 가라앉히고 감상하는 청중"
O,"饥饿难耐的人","배고픔을 참기 힘든 사람"
O,"骑士团的AG","기사단의 AG"
O,"黑曜骑士团","흑요기사단"
O,"黑曜骑士团AG","흑요기사단AG"
,"？？","？？"
,"？？？","？？？"
,"？？？？","？？？？"
O,"AGR-06？","AGR-06 ？"
,"Gesetz","Gesetz"
,"Regel","Regel"
